epoch,loss,val_loss
0,0.016128476709127426,0.01266760379076004
1,0.011271469295024872,0.00929949339479208
2,0.00952232163399458,0.008469436317682266
3,0.009097529575228691,0.008551829494535923
4,0.00893859937787056,0.008657459169626236
5,0.008875780738890171,0.008516453206539154
6,0.00879809632897377,0.008329377509653568
7,0.008784265257418156,0.008534478023648262
8,0.008769300766289234,0.008412158116698265
9,0.008724170736968517,0.008454029448330402
10,0.00874683354049921,0.008352839387953281
11,0.008750131353735924,0.008387723937630653
12,0.00863259844481945,0.008295612409710884
13,0.00869058445096016,0.008292353712022305
14,0.00869978778064251,0.00856820959597826
15,0.00867147371172905,0.008437514305114746
16,0.008635732345283031,0.008411631919443607
17,0.008670885115861893,0.008304190821945667
18,0.00863684993237257,0.008310575038194656
19,0.00862118136137724,0.008631395176053047
20,0.008639556355774403,0.00839352235198021
